emi_id,member_id,plan_id,group_id,plan_emi,emi_no,total_emi,emi_status,divident,slot_number,gst_percentage,plan_emi_after_gst,is_gst_included,gst_amount,is_chit_taken,chit_amount,chit_emi_months,chit_emi,return_chit_amount,return_factor,chit_interest,return_chit_amount_final,chit_status,revised_emi,is_emi_due,penality_amount,rate_of_interest,after_penality_amount,revised_emi_after_penality,is_partial_payment,partial_paid_amount,amount_due,emi_month,mode,added_date,update_date
1,3,1,1,20000,2,5,due,,092201L101,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Oct,2022",,"2022-09-30 05:14:36","0000-00-00 00:00:00"
2,3,1,1,20000,3,5,due,,092201L101,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Nov,2022",,"2022-09-30 05:14:36","0000-00-00 00:00:00"
3,3,1,1,20000,4,5,due,,092201L101,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Dec,2022",,"2022-09-30 05:14:36","0000-00-00 00:00:00"
4,3,1,1,20000,5,5,due,,092201L101,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Jan,2023",,"2022-09-30 05:14:36","0000-00-00 00:00:00"
5,10,1,1,20000,1,5,paid,,092201L102,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Sep,2022",,"2022-09-30 05:14:40","0000-00-00 00:00:00"
6,10,1,1,20000,2,5,due,,092201L102,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Oct,2022",,"2022-09-30 05:14:40","0000-00-00 00:00:00"
7,10,1,1,20000,3,5,due,,092201L102,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Nov,2022",,"2022-09-30 05:14:40","0000-00-00 00:00:00"
8,10,1,1,20000,4,5,due,,092201L102,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Dec,2022",,"2022-09-30 05:14:40","0000-00-00 00:00:00"
9,10,1,1,20000,5,5,due,,092201L102,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Jan,2023",,"2022-09-30 05:14:40","0000-00-00 00:00:00"
10,7,1,1,20000,1,5,due,,092201L103,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Sep,2022",,"2022-09-30 05:14:45","0000-00-00 00:00:00"
11,7,1,1,20000,2,5,due,,092201L103,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Oct,2022",,"2022-09-30 05:14:45","0000-00-00 00:00:00"
12,7,1,1,20000,3,5,due,,092201L103,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Nov,2022",,"2022-09-30 05:14:45","0000-00-00 00:00:00"
13,7,1,1,20000,4,5,due,,092201L103,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Dec,2022",,"2022-09-30 05:14:45","0000-00-00 00:00:00"
14,7,1,1,20000,5,5,due,,092201L103,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Jan,2023",,"2022-09-30 05:14:45","0000-00-00 00:00:00"
15,1,1,1,20000,1,5,paid,,092201L104,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Sep,2022",,"2022-09-30 05:14:57","0000-00-00 00:00:00"
16,1,1,1,20000,2,5,due,,092201L104,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Oct,2022",,"2022-09-30 05:14:57","0000-00-00 00:00:00"
17,1,1,1,20000,3,5,due,,092201L104,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Nov,2022",,"2022-09-30 05:14:57","0000-00-00 00:00:00"
18,1,1,1,20000,4,5,due,,092201L104,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Dec,2022",,"2022-09-30 05:14:57","0000-00-00 00:00:00"
19,1,1,1,20000,5,5,due,,092201L104,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Jan,2023",,"2022-09-30 05:14:57","0000-00-00 00:00:00"
20,2,1,1,20000,1,5,due,,092201L105,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Sep,2022",,"2022-09-30 05:15:03","0000-00-00 00:00:00"
21,2,1,1,20000,2,5,due,,092201L105,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Oct,2022",,"2022-09-30 05:15:03","0000-00-00 00:00:00"
22,2,1,1,20000,3,5,due,,092201L105,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Nov,2022",,"2022-09-30 05:15:03","0000-00-00 00:00:00"
23,2,1,1,20000,4,5,due,,092201L105,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Dec,2022",,"2022-09-30 05:15:03","0000-00-00 00:00:00"
24,2,1,1,20000,5,5,due,,092201L105,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Jan,2023",,"2022-09-30 05:15:03","0000-00-00 00:00:00"
25,4,1,2,20000,1,5,due,,092201L106,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Sep,2022",,"2022-09-30 05:15:09","0000-00-00 00:00:00"
26,4,1,2,20000,2,5,due,,092201L106,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Oct,2022",,"2022-09-30 05:15:09","0000-00-00 00:00:00"
27,4,1,2,20000,3,5,due,,092201L106,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Nov,2022",,"2022-09-30 05:15:09","0000-00-00 00:00:00"
28,4,1,2,20000,4,5,due,,092201L106,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Dec,2022",,"2022-09-30 05:15:09","0000-00-00 00:00:00"
29,4,1,2,20000,5,5,due,,092201L106,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Jan,2023",,"2022-09-30 05:15:09","0000-00-00 00:00:00"
30,5,1,2,20000,1,5,due,,092201L107,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Sep,2022",,"2022-09-30 05:15:18","0000-00-00 00:00:00"
31,5,1,2,20000,2,5,due,,092201L107,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Oct,2022",,"2022-09-30 05:15:18","0000-00-00 00:00:00"
32,5,1,2,20000,3,5,due,,092201L107,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Nov,2022",,"2022-09-30 05:15:18","0000-00-00 00:00:00"
33,5,1,2,20000,4,5,due,,092201L107,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Dec,2022",,"2022-09-30 05:15:18","0000-00-00 00:00:00"
34,5,1,2,20000,5,5,due,,092201L107,,,,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,"Jan,2023",,"2022-09-30 05:15:18","0000-00-00 00:00:00"
