emi_id,member_id,plan_id,group_id,plan_emi,emi_no,total_emi,emi_status,divident,is_chit_taken,chit_amount,chit_emi_months,chit_emi,return_chit_amount,return_factor,chit_interest,return_chit_amount_final,chit_status,revised_emi,is_emi_due,penality_amount,rate_of_interest,after_penality_amount,revised_emi_after_penality,is_partial_payment,partial_paid_amount,amount_due,emi_month,mode,added_date,update_date,slot_number,gst_percentage,plan_emi_after_gst,is_gst_included,gst_amount
2,1,1,1,10000,1,10,cancelled,200,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,Yes,1000,9000,Mar,NULL,08-03-2022 12:37,NULL,,,,,
3,1,1,1,10000,2,10,cancelled,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,Apr,NULL,08-03-2022 12:37,NULL,,,,,
4,1,1,1,10000,3,10,cancelled,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,May,NULL,08-03-2022 12:37,NULL,,,,,
5,1,1,1,10000,4,10,cancelled,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,Jun,NULL,08-03-2022 12:37,NULL,,,,,
6,1,1,1,10000,5,10,cancelled,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,Jul,NULL,08-03-2022 12:37,NULL,,,,,
7,1,1,1,10000,6,10,cancelled,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,Aug,NULL,08-03-2022 12:37,NULL,,,,,
8,1,1,1,10000,7,10,cancelled,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,Sep,NULL,08-03-2022 12:37,NULL,,,,,
9,1,1,1,10000,8,10,cancelled,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,Oct,NULL,08-03-2022 12:37,NULL,,,,,
10,1,1,1,10000,9,10,cancelled,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,Nov,NULL,08-03-2022 12:37,NULL,,,,,
11,1,1,1,10000,10,10,cancelled,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,Dec,NULL,08-03-2022 12:37,NULL,,,,,
12,5,1,1,10000,1,10,due,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,Mar,NULL,08-03-2022 11:04,NULL,,,,,
13,5,1,1,10000,2,10,due,11000,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,Apr,NULL,08-03-2022 11:04,NULL,,,,,
14,5,1,1,10000,3,10,due,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,May,NULL,08-03-2022 11:04,NULL,,,,,
15,5,1,1,10000,4,10,due,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,Jun,NULL,08-03-2022 11:04,NULL,,,,,
16,5,1,1,10000,5,10,due,,no,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,yes,NULL,NULL,NULL,NULL,No,NULL,NULL,Jul,NULL,08-03-2022 11:04,NULL,,,,,
